Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Interpellation betrerffend Beteiligung der Stadt an der Hangenmoos AG,Interpellation,Erledigt,6. November 2014,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']"
Schriftliche Anfrage betreffend Kunsteisbahn Wädenswil,Kleine Anfrage,Beantwortet,29. September 2008,['CVP-Fraktion'],['CVP-Fraktion']
Interpellation zur Verbesserung der Standortförderung in Wädenswil,Interpellation,Erledigt,28. Februar 2017,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']"
"Postulat betreffend ""Ertrags- und Kostenoptimierung im Bereich Städtische Liegenschaften""",Postulat,Erledigt,11. Juni 2021,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']"
Postulat zur Koordination des Angebots für Kinder und Jungendliche,Postulat,Beantwortet,3. Juli 2006,"['Giuseppina Spescha, CVP\n Meike Nau Lüber, SP', '']","['Giuseppina Spescha', 'Meike Nau Lüber']"
Interpellation betreffend Neuausrichtung der Gemeindschafts- und Freizeitanlage Untermosen,Interpellation,Beantwortet,6. Juni 2010,"['Christoph Hirzel, SP']",['Christoph Hirzel']
Schriftliche Anfrage betreffend Umnutzung des SBB Reisebüros,Anfrage,Beantwortet,5. Juni 2015,"['Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)\n Christine Merseburger (keine Funktion)', '', '']","['Rahel Sonderegger', 'Berti Stocker', 'Christine Merseburger']"
Schriftliche Anfrage betreffend individueller Bezug von Biogas,Anfrage,Erledigt,14. August 2020,[' Roth Hans'],['Roth Hans']
Schriftliche Anfrage betreffend neuer Fussweg Mittelort (Au),Kleine Anfrage,Beantwortet,20. September 2007,['EVP-Fraktion'],['EVP-Fraktion']
Interpellation für einen städtischen Energiefonds,Interpellation,Erledigt,11. Mai 2019,"[' Zürrer André', ' Baer Charlotte', ' Kronauer Marco', '', 'Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '']","['Zürrer André', 'Baer Charlotte', 'Kronauer Marco', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']"
