Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Neuregelung der Bestimmungen zum Umgang mit Überstundensaldi im Personalstatut,Interpellation,Beantwortet,2016-09-16,"['Dr. Bürgi Markus', ' Frei Daniel', ' Iseli Thomas', 'Dr.  Liedtke Wolfgang', ' Marty Fässler Carmen', '', 'Fredi Morf (Mitunterzeichner/in)\n Heidi Jucker (Mitunterzeichner/in)\n Daniela Morf (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '', '']","['Bürgi Markus', 'Frei Daniel', 'Iseli Thomas', 'Liedtke Wolfgang', 'Marty Fässler Carmen', 'Fredi Morf', 'Heidi Jucker', 'Daniela Morf', 'Walter Uebersax']"
Unterhalt der städtischen Liegenschaften,Interpellation,Beantwortet,2014-11-10,"['Dr. Oswald Marianne', '', 'Ueli Gräflein (keine Funktion)']","['Oswald Marianne', 'Ueli Gräflein']"
Wiedereinführung der Sekundar C-Stufe als separater Klassenzug,Interpellation,Beantwortet,2016-02-01,[' Corrodi Bernie'],['Corrodi Bernie']
Tagesstrukturen im Schulhaus Dietlimoos,Postulat,Nicht überwiesen,2011-05-19,['Daniel Jud (keine Funktion)'],['Daniel Jud']
Krankenversicherungskosten im Sozialwesen,Interpellation,Beantwortet,2014-12-03,['Peter Werder (keine Funktion)'],['Peter Werder']
Sammlung von Plastikabfällen aller Art auf dem Stadtgebiet und Zuführung zur Wiederverwertung,Motion,Überwiesen,2022-02-02,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']"
Verkauf von städtischen Liegenschaften,Interpellation,Beantwortet,2011-05-24,['Ueli Gräflein (keine Funktion)'],['Ueli Gräflein']
Schulqualität fördern,Interpellation,Beantwortet,2019-05-29,[' Clesle Hanspeter'],['Clesle Hanspeter']
Schulhaus/Turnhalle Dietlimoos,Interpellation,Beantwortet,2011-06-08,"[' Clesle Hanspeter', ' Fässler Thomas']","['Clesle Hanspeter', 'Fässler Thomas']"
5G Infrastruktur-Ausbau,Dringliches Postulat,Abgelehnt,2019-05-22,[' Engel Pascal'],['Engel Pascal']
Entwicklung der Mietzinse in Adliswil und Anpassung der Normmietzinsen in der Sozialhilfe 2012-2022,Interpellation,Beantwortet,2022-03-17,"[' Etemi Xhelajdin', ' Muthuthamby Kannathasan']","['Etemi Xhelajdin', 'Muthuthamby Kannathasan']"
Areal der Stalder Transportunternehmung AG,Interpellation,Beantwortet,2014-12-03,"['Dr. Oswald Marianne', '', 'Ueli Gräflein (keine Funktion)']","['Oswald Marianne', 'Ueli Gräflein']"
Unternehmens-Identifikationsnummer (UID),Interpellation,,2011-05-12,[' Senn Mario'],['Senn Mario']
Verbesserung des ÖV-Angebotes,Postulat,Nicht überwiesen,2014-12-04,['Peter Bühler (keine Funktion)'],['Peter Bühler']
Teilrevision der GO bezüglich der parlamentarischen Oberaufsicht,Motion,Erledigt,2014-10-09,,
Globalbudget betr. zusätzlichem Indikator beim Produkt Kultur,Postulat,Überwiesen,2011-06-17,"[' Clesle Hanspeter', '', 'Daniela Morf (keine Funktion)']","['Clesle Hanspeter', 'Daniela Morf']"
Rückforderungen von Versorgertaxen vom Kanton Zürich,Interpellation,Beantwortet,2022-05-19,"['Christoph Gubser (Erstunterzeichner/in)\n Patrick Sager (Mitunterzeichner/in)', '']","['Christoph Gubser', 'Patrick Sager']"
Wie schützt sich Adliswil vor Cyberangriffen?,Interpellation,Beantwortet,2022-04-28,"[' Buchmann-Bach Vera', '', 'Patrick Sager (Mitunterzeichner/in)']","['Buchmann-Bach Vera', 'Patrick Sager']"
