Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu
Adliswiler Zentrum aufwerten,Postulat,Abgelehnt,2020-09-23,"[' Schanz Simon', '', 'Anke Würl (Mitunterzeichner/in)\n Martin  Rüttimann (Erstunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '']","['Schanz Simon', 'Anke Würl', 'Martin  Rüttimann', 'Walter Uebersax']"
Übertragung der Kompetenzen zur Erteilung des Adliswiler Bürgerrechts an Ausländerinnen und Ausländer ohne Rechtsanspruch an den Stadtrat,Motion,Nicht überwiesen,2015-03-18,"[' Marty Fässler Carmen', '', 'Davide Loss (keine Funktion)']","['Marty Fässler Carmen', 'Davide Loss']"
Geplante grosse Überbauungen in Adliswil,Interpellation,Beantwortet,2021-05-21,"['Dr. Helbling Silvia', ' Senn Mario']","['Helbling Silvia', 'Senn Mario']"
Wählerverwirrung bei der Stadtpräsidiumswahl,Interpellation,Beantwortet,2018-07-05,"[' Clesle Hanspeter', ' Melliger Heinz', '', 'Daniela Morf (Mitunterzeichner/in)']","['Clesle Hanspeter', 'Melliger Heinz', 'Daniela Morf']"
Papierverbrauch in der Stadtverwaltung,Interpellation,Beantwortet,2011-02-04,['Davide Loss (keine Funktion)'],['Davide Loss']
Adliswil und die 2000-Watt-Gesellschaft,Interpellation,Erledigt,2015-11-02,"['Dr. Bürgi Markus', ' Senn Mario', '', 'Daniela Morf (keine Funktion)']","['Bürgi Markus', 'Senn Mario', 'Daniela Morf']"
Gemeinderating von Solidar Suisse,Interpellation,Beantwortet,2014-04-16,['Simon Jacoby (keine Funktion)'],['Simon Jacoby']
Zusatzkredite,Interpellation,Beantwortet,2016-03-16,"['Fredi Morf (Mitunterzeichner/in)\n Heidi Jucker (Erstunterzeichner/in)\n Daniela Morf (Mitunterzeichner/in)', '', '']","['Fredi Morf', 'Heidi Jucker', 'Daniela Morf']"
Gebühren am Onlineschalter,Motion,Beschlossen,2019-06-06,"[' Buchmann Reto', ' Schanz Simon']","['Buchmann Reto', 'Schanz Simon']"
Pilotversuch einer Tagesschule in Adliswil,Motion,Abgelehnt,2021-09-22,"[' Acar Sait', ' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang', ' Muthuthamby Kannathasan', ' Yilmaz Esen', '', 'Katharina  Willimann (Erstunterzeichner/in)']","['Acar Sait', 'Etemi Xhelajdin', 'Liedtke Wolfgang', 'Muthuthamby Kannathasan', 'Yilmaz Esen', 'Katharina  Willimann']"
Massnahmen zur Erreichung der Klimaziele,Dringliches Postulat,Abgelehnt,2019-04-05,"['Dr.  Liedtke Wolfgang', ' Etemi Xhelajdin', ' Muthuthamby Kannathasan', '', 'Angelika  Sulser (Mitunterzeichner/in)']","['Liedtke Wolfgang', 'Etemi Xhelajdin', 'Muthuthamby Kannathasan', 'Angelika  Sulser']"
Günstiger Wohnraum in Adliswil,Interpellation,Beantwortet,2019-04-12,"[' Buchmann Reto', '', 'Patrick Sager (Erstunterzeichner/in)']","['Buchmann Reto', 'Patrick Sager']"
Transparenz über die finanziellen Auswirkungen der Verdichtung mit Grossprojekten,Postulat,Abgeschrieben,2021-09-02,"[' Senn Mario', ' Clesle Hanspeter', ' Frei Daniel', ' Huber Sebastian']","['Senn Mario', 'Clesle Hanspeter', 'Frei Daniel', 'Huber Sebastian']"
Boden behalten - Adliswil nachhaltig gestalten,Volksinitiative,Abgelehnt,2019-06-25,,
Stabilisierung des Finanzhaushaltes der Stadt Adliswil,Postulat,Abgeschrieben,2016-03-18,"['Dr. Bürgi Markus', ' Frei Daniel', '', 'Daniela Morf (keine Funktion)']","['Bürgi Markus', 'Frei Daniel', 'Daniela Morf']"
Skateboard-Anlage Adliswil,Interpellation,Beantwortet,2014-05-07,['Mario F. Salomon (keine Funktion)'],['Mario F. Salomon']
Potentieller Missbrauch des Sozialhilfesystems durch Vermieter,Interpellation,Erledigt,2015-09-23,"['Dr. Bürgi Markus', '', 'Simone Huber (Zweitunterzeichner/in)']","['Bürgi Markus', 'Simone Huber']"
Kücheneinbau im Kindergarten Hündli,Interpellation,Beantwortet,2011-03-15,[' Clesle Hanspeter'],['Clesle Hanspeter']
Kiss and Ride,Postulat,Nicht überwiesen,2011-01-12,['Peter Werder (keine Funktion)'],['Peter Werder']
Stadteigene Grundstücke,Interpellation,Beantwortet,2015-08-19,['Dr. Oswald Marianne'],['Oswald Marianne']
Kostendeckungsgrad der Schulergänzenden Angebote,Motion,Abgeschrieben,2015-01-28,"[' Frei Daniel', ' Senn Mario', '', 'Heidi Jucker (keine Funktion)']","['Frei Daniel', 'Senn Mario', 'Heidi Jucker']"
Tiefackerstrasse,Interpellation,Beantwortet,2014-09-02,"[' Corrodi Bernie', ' Fässler Thomas']","['Corrodi Bernie', 'Fässler Thomas']"
Umzug der Swiss Re,Interpellation,Erledigt,2016-02-10,"['Dr.  Liedtke Wolfgang', ' Marty Fässler Carmen', 'Dr. Oswald Marianne', '', 'Ueli Gräflein (Mitunterzeichner/in)']","['Liedtke Wolfgang', 'Marty Fässler Carmen', 'Oswald Marianne', 'Ueli Gräflein']"
Führung und Steuerung Wohnen im Alter,Interpellation,Beantwortet,2019-07-03,"['Dr. Helbling Silvia', ' Corrodi Bernie', ' Iseli Thomas']","['Helbling Silvia', 'Corrodi Bernie', 'Iseli Thomas']"
Entwicklung Lätten,Interpellation,Beantwortet,2021-06-02,"[' Senn Mario', ' Acar Sait', ' Clesle Hanspeter']","['Senn Mario', 'Acar Sait', 'Clesle Hanspeter']"
Veloverkehrskonzept,Postulat,Abgeschrieben,2019-03-07,"['Dr. Oswald Marianne', 'Dr. Broggini Angela ', ' Schneider Daniel']","['Oswald Marianne', 'Broggini Angela', 'Schneider Daniel']"
Hotellerietaxen in Adliswiler Pflegeeinrichtungen,Interpellation,Beantwortet,2019-03-07,"['Dr.  Liedtke Wolfgang', ' Acar Sait']","['Liedtke Wolfgang', 'Acar Sait']"
Auflegen kostenloser Menstruationsartikel in Schulen,Anfrage,Beantwortet,2021-07-07,"['Dr. Oswald Marianne', 'Dr. Broggini Angela ', '', 'Katharina  Willimann (Mitunterzeichner/in)\n Angelika  Sulser (Mitunterzeichner/in)', '']","['Oswald Marianne', 'Broggini Angela', 'Katharina  Willimann', 'Angelika  Sulser']"
Baurechte,Interpellation,Beantwortet,2019-07-01,"['Dr. Helbling Silvia', ' Mäder Gabriel', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Patrick Sager (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '', '', '']","['Helbling Silvia', 'Mäder Gabriel', 'Stefan Neubert', 'Anke Würl', 'Patrick Sager', 'Walter Uebersax']"
Umstellung auf das Harmonisierte Rechnungsmodell 2 (HRM2),Interpellation,Beantwortet,2016-02-10,"['Dr. Bürgi Markus', ' Buchmann-Bach Vera', ' Senn Mario']","['Bürgi Markus', 'Buchmann-Bach Vera', 'Senn Mario']"
Pilotprojekt ÖREB,Interpellation,Erledigt,2014-06-26,['Walter Uebersax (Erstunterzeichner/in)'],['Walter Uebersax']
Gemeindegrenzen und Neuplatzierung der Ortstafeln,Interpellation,Erledigt,2015-09-03,[' Acar Sait'],['Acar Sait']
Kostendeckungsgrad Bau,Motion,Abgeschrieben,2015-01-28,,
Waffen in Adliswil,Interpellation,Beantwortet,2011-01-03,['Davide Loss (keine Funktion)'],['Davide Loss']
Littering,Interpellation,Beantwortet,2010-08-09,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein']
Badeanstalt Adliswil,Interpellation,Erledigt,2015-11-05,['Mario F. Salomon (keine Funktion)'],['Mario F. Salomon']
Städtische Beteiligungen an Unternehmungen,Postulat,Erledigt,2014-02-12,[' Senn Mario'],['Senn Mario']
Finanzverfassung der Stadt Adliswil,Motion,Abgeschrieben,2016-03-18,"[' Senn Mario', ' Baldegger Harry', '', 'Heidi Jucker (Mitunterzeichner/in)']","['Senn Mario', 'Baldegger Harry', 'Heidi Jucker']"
Stadthausareal,Interpellation,Beantwortet,2019-09-04,"['Dr. Oswald Marianne', ' Corrodi Bernie', 'Dr.  Liedtke Wolfgang', ' Mäder Gabriel']","['Oswald Marianne', 'Corrodi Bernie', 'Liedtke Wolfgang', 'Mäder Gabriel']"
Einführung von Betreuungsgutscheinen,Parlamentarische Initiative,Abgelehnt,2018-11-27,"['Dr.  Liedtke Wolfgang', 'Dr. Oswald Marianne', '', 'Anke Würl (Mitunterzeichner/in)']","['Liedtke Wolfgang', 'Oswald Marianne', 'Anke Würl']"
Politisch aktiv in Adliswil,Interpellation,Beantwortet,2011-12-07,"[' Acar Sait', '', 'Peter Bühler (keine Funktion)']","['Acar Sait', 'Peter Bühler']"
Gebühren an der Hauptentsorgungsstelle Adliswil Tüfi,Interpellation,Beantwortet,2023-02-02,"[' Muthuthamby Kannathasan', ' Acar Sait']","['Muthuthamby Kannathasan', 'Acar Sait']"
Frühwarnsystem bei Unwetterkatastrophen,Interpellation,Beantwortet,2021-10-18,"[' Muthuthamby Kannathasan', '', 'Katharina  Willimann (Erstunterzeichner/in)\n Angelika  Sulser (Mitunterzeichner/in)', '']","['Muthuthamby Kannathasan', 'Katharina  Willimann', 'Angelika  Sulser']"
Zahlen zur Sozialhilfe in Adliswil,Anfrage,Beantwortet,2021-09-22,[' Muthuthamby Kannathasan'],['Muthuthamby Kannathasan']
Energie aus Fluss-und Trinkwasser,Motion,Überwiesen,2023-02-02,"[' Baldegger Harry', ' Corrodi Bernie', ' Frei Daniel', ' Melliger Heinz']","['Baldegger Harry', 'Corrodi Bernie', 'Frei Daniel', 'Melliger Heinz']"
Unterstützung der Charta für Lohngleichheit von Frau und Mann,Postulat,Teilweise überwiesen,2018-12-13,"['Dr.  Liedtke Wolfgang', 'Dr. Broggini Angela ', ' Muthuthamby Kannathasan', 'Dr. Oswald Marianne']","['Liedtke Wolfgang', 'Broggini Angela', 'Muthuthamby Kannathasan', 'Oswald Marianne']"
Sonntagsverkäufe in Adliswil,Interpellation,Beantwortet,2011-10-14,[' Senn Mario'],['Senn Mario']
Verbesserung des Angebotes des öffentlichen Verkehrs in Adliswil,Postulat,Abgelehnt,2019-09-23,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang']
Qualität der Finanzplanung,Postulat,Abgeschrieben,2016-03-18,"[' Engel Pascal', ' Frei Daniel', '', 'Fredi Morf (keine Funktion)']","['Engel Pascal', 'Frei Daniel', 'Fredi Morf']"
Benützung der Garderoben und Duschen für Sporttreibende über Mittag,Postulat,,2014-03-05,[' Iseli Thomas'],['Iseli Thomas']
Umgang mit Gegenständen in Treppenhäusern und Hauseingängen,Interpellation,Erledigt,2015-11-05,"[' Acar Sait', '', 'Davide Loss (Erstunterzeichner/in)']","['Acar Sait', 'Davide Loss']"
Sprayereien,Interpellation,Beantwortet,2010-09-16,[' Clesle Hanspeter'],['Clesle Hanspeter']
Bikesharing-Station am Bahnhof Adliswil,Interpellation,Beantwortet,2010-12-16,['Davide Loss (Verfasser/in)'],['Davide Loss']
Weiterbestand des Personalvereins Adliswil,Interpellation,Erledigt,2016-01-26,"[' Acar Sait', '', 'Davide Loss (Zweitunterzeichner/in)']","['Acar Sait', 'Davide Loss']"
Neuerungen Kinterbetreuung,Interpellation,Beantwortet,2014-02-05,"[' Senn Mario', '', 'Simone Huber (keine Funktion)']","['Senn Mario', 'Simone Huber']"
Bewilligungspraxis unbez. Urlaub Lehrpersonen,Interpellation,Beantwortet,2016-06-03,['Christoph Schwager (Verfasser/in)'],['Christoph Schwager']
Sharing Economy in Adliswil und an Adliswiler Bahnhöfen,Postulat,Abgelehnt,2019-07-26,"[' Buchmann Reto', ' Buchmann-Bach Vera']","['Buchmann Reto', 'Buchmann-Bach Vera']"
Übertragung der Kompetenz zur Erteilung des Bürgerrechts der Stadt Adliswil bei Personen ohne Rechtsanspruch an den Stadtrat,Parlamentarische Initiative,Abgelehnt,2019-01-24,"[' Acar Sait', ' Etemi Xhelajdin']","['Acar Sait', 'Etemi Xhelajdin']"
Attraktiverer öffentlicher Verkehr statt Staus und Mehrkosten,Postulat,Abgeschrieben,2021-11-23,"[' Buchmann-Bach Vera', ' Engel Pascal', ' Huber Sebastian']","['Buchmann-Bach Vera', 'Engel Pascal', 'Huber Sebastian']"
Ist Adliswil bald zugebaut?,Interpellation,Beantwortet,2021-11-24,"['Dr. Oswald Marianne', 'Dr. Broggini Angela ', ' Schneider Daniel']","['Oswald Marianne', 'Broggini Angela', 'Schneider Daniel']"
Für mehr preisgünstige Wohnungen,Interpellation,Beantwortet,2018-12-13,"[' Mäder Gabriel', '', 'Anke Würl (Mitunterzeichner/in)']","['Mäder Gabriel', 'Anke Würl']"
Einsatz von Pflanzenschutzmittel in Adliswil,Interpellation,Beantwortet,2019-07-10,"['Dr. Oswald Marianne', '', 'Stefan Neubert (Mitunterzeichner/in)\n Anke Würl (Mitunterzeichner/in)\n Angelika  Sulser (Mitunterzeichner/in)', '', '']","['Oswald Marianne', 'Stefan Neubert', 'Anke Würl', 'Angelika  Sulser']"
Stellenwechsel pro Ressort/Abteilung,Interpellation,Beantwortet,2016-05-20,"['Dr. Oswald Marianne', '', 'Ueli Gräflein (Erstunterzeichner/in)']","['Oswald Marianne', 'Ueli Gräflein']"
Erstellung eines Intergrationskonzeptes,Postulat,Nicht überwiesen,2014-02-05,[' Acar Sait'],['Acar Sait']
Mehr Plakatstellen bzw. grössere Flächen für kulturelle Aktivitäten,Interpellation,Erledigt,2016-02-01,[' Corrodi Bernie'],['Corrodi Bernie']
Öffentliche Ordnung,Interpellation,Beantwortet,2010-11-01,"[' Acar Sait', ' Marty Fässler Carmen', '', 'Peter Bühler (keine Funktion)\n Davide Loss (keine Funktion)', '']","['Acar Sait', 'Marty Fässler Carmen', 'Peter Bühler', 'Davide Loss']"
