Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Schriftliche Anfrage betreffend Leuchtturmrestaurant auf dem Seeplatz,Anfrage,Beantwortet,2010-06-07,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",213
Postulat betreffend Notfall- und Kommunikationskonzept bei Cyber-Angriffen,Postulat,Pendent Legislative,2022-11-03,"[' Höhener Patrick', ' Bachmann Severin', ' Baer Charlotte', ' Bislin Martin', ' Cogliati Bruno', ' Frommherz Nico', ' Fuchs Werner', ' Gall Ursula', ' Hauser Urs', ' Hitz Roland', ' Koch Thomas', ' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Rasper Nicolas', ' Reiter Ulrich', ' Reust Patrick', ' Roth Hans', ' Rusterholz Marlies', ' Schafflützel Roman', ' Schüpbach Nadia ', ' Tanner Imfeld Monika', ' Utiger Joël', ' Wehrli Samuel', ' Willi Daniel', ' Zürrer André', '', 'Karin Signer (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '', '', '', '', '', '']","['Höhener Patrick', 'Bachmann Severin', 'Baer Charlotte', 'Bislin Martin', 'Cogliati Bruno', 'Frommherz Nico', 'Fuchs Werner', 'Gall Ursula', 'Hauser Urs', 'Hitz Roland', 'Koch Thomas', 'Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Rasper Nicolas', 'Reiter Ulrich', 'Reust Patrick', 'Roth Hans', 'Rusterholz Marlies', 'Schafflützel Roman', 'Schüpbach Nadia', 'Tanner Imfeld Monika', 'Utiger Joël', 'Wehrli Samuel', 'Willi Daniel', 'Zürrer André', 'Karin Signer', 'Ernst Grand', 'Judith Fürst', 'Hanspeter Andreoli', 'Sandy Bossert', 'Lukas Wiederkehr', 'Christian Nufer', 'Edith Höhn', 'Gabi Bachmann']",214
Interpellation betreffend Erhalt der Primar- und Mittelstufe im Wädenswiler Berg,Interpellation,Erledigt,2021-03-22,"[' Baer Charlotte', ' Kronauer Marco', ' Rasper Nicolas', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Erstunterzeichner/in)', '']","['Baer Charlotte', 'Kronauer Marco', 'Rasper Nicolas', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",215
Postulat betreffend Aufwandstabilisierung,Postulat,Beantwortet,2015-01-14,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (Mitunterzeichner/in)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",216
Postulat betreffend neuer Weihnachtsbeleuchtung,Postulat,Rückzug,2011-01-17,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",217
Postulat betreffend Ermahnung der Hundehalter über ihre Pflichten,Postulat,Beantwortet,2010-05-24,"[' Baer Charlotte', '', 'Fredy Haab\n Martin Lampert\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",218
Postulat betreffend Einführung eines bezahlten Vaterschaftsurlaubs,Postulat,Nicht überwiesen,2006-11-06,['Willy Rüegg'],['Willy Rüegg'],219
Interpellation betreffend Förderung der Biodiversität in Wädenswil,Interpellation,Beantwortet,2011-06-03,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",220
Interpellation betreffend Verkauf Grundstück im Steinacher,Interpellation,Beantwortet,2009-07-10,['Heinz Wiher (Verfasser/in)'],['Heinz Wiher'],221
Schriftliche Anfrage betreffend Alkohol-Testkäufe,Kleine Anfrage,Beantwortet,2006-06-20,['EVP-Fraktion'],['EVP-Fraktion'],222
Schriftliche Anfrage betreffend Brücke über den Gulmenbach,Kleine Anfrage,Beantwortet,2012-08-17,['Pascal Rubin (keine Funktion)'],['Pascal Rubin'],223
Interpellation betreffend Seeuferweg,Interpellation,Beantwortet,2011-10-06,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",224
Interpellation betreffend Au als Hochschul- und Bildungsstandort,Interpellation,Beantwortet,2011-10-14,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],225
Schriftliche Anfrage betreffend Sicherheit von Badenden und Booten,Kleine Anfrage,Beantwortet,2012-08-24,"[' Furrer Astrid', '', 'Peter Dolder, Thomas Bürge\n Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)', '', '']","['Astrid Furrer', 'Peter Dolder', 'Thomas Bürge', 'Walter Münch', 'Walter Münch']",226
Motion zur Schaffung einer Ombudsstelle für alle städtischen Abeitlungen,Motion,Beantwortet,2006-06-09,"['Gernot Schreiber, EVP und Mitunterzeichnende']","['Gernot Schreiber', 'Matthias Haab', 'Tobias Mani', 'Berti Stocker', 'Thomas Hartmann']",227
Interpellation betreffend Förderung des Wohnungsbaus in Wädenswil,Interpellation,Beantwortet,2009-07-17,['Willy Rüegg'],['Willy Rüegg'],228
Interpellation betreffend Stadtentwicklung,Interpellation,Beantwortet,2011-06-06,['Willy Rüegg'],['Willy Rüegg'],229
Postulat betreffend baugesetzlicher Bewilligung des Projekts Überdachung Busbahnhof Welle durch die Heimatschutzkommission des Kant. Zürich bzw. freiwillige Einholung deren Expertise,Postulat,Nicht überwiesen,2010-05-22,"['Kuno Spirig, GLP']",['Kuno Spirig'],230
Schriftliche Anfrage betreffend Integration von ausländischen Staatsangehörigen,Kleine Anfrage,Beantwortet,2006-11-28,['Aurèle Greter'],['Aurel Greter'],231
Schriftliche Anfrage zur Hauswartung in den Alterswohnungen Bin Rääbe,Anfrage,Beantwortet,2015-01-29,"['Rahel Sonderegger (keine Funktion)\n Christine Merseburger (keine Funktion)', '']","['Rahel Sonderegger', 'Christine Merseburger']",232
Postulat betreffend amtliches Publikationsorgan,Postulat,Erledigt,2021-02-20,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Erstunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",233
Interpellation betreffend Gewerbebauland in der Au sowie der Zone für öffentliche Bauten,Interpellation,Beantwortet,2011-01-24,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli']",234
Interpellation betreffend Digitalisierung der Verwaltungsprozesse,Interpellation,Erledigt,2022-11-04,"[' Schafflützel Roman', ' Koch Thomas', ' Lüthi Beat', ' Schüpbach Nadia ', '', 'Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '']","['Schafflützel Roman', 'Koch Thomas', 'Lüthi Beat', 'Schüpbach Nadia', 'Ernst Grand', 'Christian Nufer']",235
Postulat betreffend abteilungsübergreifenden Controlling-Prozessen,Postulat,Beantwortet,2010-06-15,['Geschäfts- und Rechnungsprüfungskommission'],"['Geschäfts-, Rechnungsprüfungskommission']",236
Interpellation betreffend vermehrte Geschwindigkeitskontrollen,Interpellation,Erledigt,2012-10-14,['Albert A. Stahel'],['Albert A. Stahel'],237
Schriftliche Anfrage betreffend Seeweg,Anfrage,Beantwortet,2013-06-07,['Albert A. Stahel'],['Albert A. Stahel'],238
Postulat betreffend Schaffung einer Umweltabteilung,Postulat,Nicht überwiesen,2009-10-01,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],239
Schriftliche Anfrage betreffend Ersatz alter Gasheizkesseln in städtischen Liegenschaften,Anfrage,Erledigt,2019-02-08,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Erstunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",240
"Schriftliche Anfrage betreffend Plakatwänden, Leuchtreklamen und Geschäftsbeschriftungen",Anfrage,Beantwortet,2014-11-18,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Mitunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",241
Postulat betreffend Submission Mahlzeitenlieferungen PSW,Postulat,Pendent Legislative,2021-12-02,"[' Gall Ursula', ' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Reiter Ulrich', ' Zürrer André', '', 'Christian Gross (Erstunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '']","['Gall Ursula', 'Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Reiter Ulrich', 'Zürrer André', 'Christian Gross', 'Martin Schlatter', 'Judith Fürst']",242
Schriftliche Anfrage betreffend Leistungen an Vereine und Organisationen in Wädenswil,Anfrage,Beantwortet,2016-12-07,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",243
Postulat betreffend Durchführung einer Volksabstimmung zum Projekt Leuchtturm am Seeplatz,Postulat,Nicht überwiesen,2008-09-23,['GP-Fraktion'],['GP-Fraktion'],244
"Interpellation zum Problem der ""ungebremsten Kostenentwicklung im Bereich Primarschule in Wädenswil""",Interpellation,Erledigt,2020-12-03,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",245
Schriftliche Anfrage betreffend Auswirkungen der intensiven Bautätigkeit,Anfrage,Beantwortet,2011-02-08,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",246
Schriftliche Anfrage betreffend Klassenzuteilung an der Primarschule,Kleine Anfrage,Beantwortet,2006-08-20,['Thomas Hartmann'],['Thomas Hartmann'],247
Schriftliche Anfrage betreffend Buslinien in der Au,Anfrage,Erledigt,2019-04-11,"[' Hauser Urs', '', 'Martin Schlatter (keine Funktion)\n Gabi Bachmann (keine Funktion)', '']","['Hauser Urs', 'Martin Schlatter', 'Gabi Bachmann']",248
Schriftliche Anfrage betreffend Beleuchtungskonzept für die Stadt Wädenswil,Kleine Anfrage,Beantwortet,2007-12-09,['Willy Rüegg'],['Willy Rüegg'],249
Interpellation betreffend Verkehrsberuhigung in Wädenswil,Interpellation,Erledigt,2023-06-02,"[' Tanner Imfeld Monika', ' Fuchs Werner', ' Minutella Angelo']","['Tanner Imfeld Monika', 'Fuchs Werner', 'Minutella Angelo']",250
Schriftliche Anfrage betreffend Kulturhalle Glärnisch,Kleine Anfrage,Beantwortet,2008-01-20,"['Reto Wullschleger, BFPW\n Roland Bollier, BFPW', '']","['Reto Wullschleger', 'Roland Bollier']",251
Schriftliche Anfrage betreffend Umbau der Kreuzung Oberort zu einem Verkehrskreisel,Kleine Anfrage,Beantwortet,2009-08-12,"['Roland Bollier, BFPW']",['Roland Bollier'],252
Schriftliche Anfrage betreffend Kosten für das Logo der Stadt Wädenswil,Kleine Anfrage,Beantwortet,2006-05-11,[' Baer Charlotte'],['Baer Charlotte'],253
Postulat betreffend Beleuchtungskonzept,Postulat,Abgeschrieben,2016-09-02,['Christian Gross (Erstunterzeichner/in)'],['Christian Gross'],254
Schriftliche Anfrage betreffend Bike & Ride,Kleine Anfrage,Beantwortet,2012-09-17,"[' Erni Jonas', '', 'Willy Rüegg\n Daniel Tanner (keine Funktion)\n Beatrice Gmür (keine Funktion)\n Hansjörg Schmid (keine Funktion)\n Christian Gross (keine Funktion)', '', '', '', '']","['Erni Jonas', 'Willy Rüegg', 'Daniel Tanner', 'Beatrice Gmür', 'Hansjörg Schmid', 'Christian Gross']",255
Interpellation betreffend Obst- und Weinbaubetrieb in der Au,Interpellation,Erledigt,2018-01-29,"[' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",256
Schriftliche Anfrage betreffend Kosten für Pflegematerial,Anfrage,Beantwortet,2018-02-13,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",257
Interpellation betreffend weiteres Vorgehen bei der Zentrumsplanung (Gerbestrasse und Umgebung sowie Poststrasse und Umgebung),Interpellation,Beantwortet,2012-09-19,"['Beat Wiederkehr (keine Funktion)\n Marc Lütolf (keine Funktion)\n Andreas Gut (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Beat Wiederkehr', 'Marc Lütolf', 'Andreas Gut', 'Monika Greter']",258
Motion betreffend Aufhebung der städtischen Ergänzungszulagen zur kantonalen Beihilfe,Motion,Erledigt,2016-07-11,"[' Baer Charlotte', ' Zürrer André', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",259
Postulat betreffend Schaffung von genügend Lehr- und Erwerbsarbeitsstellen für alle Jugendliche in Wädenswil,Postulat,Nicht überwiesen,2006-05-10,['Willy Rüegg'],['Willy Rüegg'],260
Schriftliche Anfrage betreffend Umsetzung Tempo-30-Zonen,Kleine Anfrage,Beantwortet,2008-01-15,['EVP-Fraktion'],['EVP-Fraktion'],261
Schriftliche Anfrage betreffend Sanierungsarbeiten an der Etzelstrasse und anderswo,Kleine Anfrage,Beantwortet,2009-08-24,['Walter Münch (Verfasser/in)'],['Walter Münch'],262
Interpellation betreffend Klimaplan Ernährung,Interpellation,Pendent Legislative,2023-06-01,"[' Frommherz Nico', ' Bachmann Severin', ' Höhener Patrick', ' Reiter Ulrich', ' Wehrli Samuel']","['Frommherz Nico', 'Bachmann Severin', 'Höhener Patrick', 'Reiter Ulrich', 'Wehrli Samuel']",263
Interpellation betreffend Mieterträge für Mobilfunkantennen auf städtischen Grundbesitz,Interpellation,Beantwortet,2007-12-06,['Christoph Hirzel'],['Christoph Hirzel'],264
Postulat betreffend Vaterschaftsurlaub,Postulat,Erledigt,2019-04-16,"['Christian Gross (Ersatzurheber/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '']","['Christian Gross', 'Lukas Wiederkehr']",265
Motion betreffend Einführung eines bezahlten Vaterschaftsurslaubs (4 Wochen),Motion,Beantwortet,2006-08-30,['Willy Rüegg'],['Willy Rüegg'],266
Interpellation betreffend Auswirkungen der kantonalen Abstimmung vom 27. September 2020 über das Strassengesetz und das Zusatzleistungsgesetz,Interpellation,Erledigt,2020-11-23,"[' Baer Charlotte', ' Kronauer Marco', ' Rasper Nicolas', ' Zürrer André', '', 'Roy Schärer (Mitunterzeichner/in)\n Sandy Bossert (Erstunterzeichner/in)', '']","['Baer Charlotte', 'Kronauer Marco', 'Rasper Nicolas', 'Zürrer André', 'Roy Schärer', 'Sandy Bossert']",267
Schriftliche Anfrage betreffend vordere Au,Anfrage,Beantwortet,2011-02-10,"['Willy Rüegg, SP']",['Willy Rüegg'],268
Postulat betreffend Massnahmen zur Einhaltung der Tempolimite in den Tempo-30-Zonen,Postulat,Nicht überwiesen,2008-09-02,"['Thomas Largiadèr, SP\n Heinz Wiher, GP', '']","['Thomas Largiadèr', 'Heinz Wiher']",269
Schriftliche Anfrage betreffend Zivildienstleistende an der Schule Wädenswil,Anfrage,Erledigt,2021-10-06,"[' Koch Thomas', ' Lüthi Beat', ' Minutella Angelo', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Pierre Rappazzo (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Lüthi Beat', 'Minutella Angelo', 'Schafflützel Roman', 'Schüpbach Nadia', 'Pierre Rappazzo', 'Ernst Grand', 'Christian Nufer']",270
"Interpellation betreffend Gerbeplatz mit unterirdischem-, Weinrebe mit ober-/unterirdischem automatischem Parksystem",Interpellation,Erledigt,2016-12-01,"[' Baer Charlotte', '', 'Marc Lütolf (keine Funktion)\n Michael Weiss (keine Funktion)\n Christina Zurfluh Fraefel (Erstunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Baer Charlotte', 'Marc Lütolf', 'Michael Weiss', 'Christina Zurfluh Fraefel', 'Christian Nufer']",271
"Interpellation betreffend Submission Arbeiten ""Gewerbepark Rütihof""",Interpellation,Erledigt,2014-11-24,"[' Minutella Angelo', '', 'Jonas Rickli (keine Funktion)\n Pierre Rappazzo (Erstunterzeichner/in)', '']","['Minutella Angelo', 'Jonas Rickli', 'Pierre Rappazzo']",272
Schriftliche Anfrage betreffend seniorengrechten öffentlichen Raum,Anfrage,Erledigt,2019-01-10,"[' Utiger Joël', '', 'Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Erstunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '']","['Utiger Joël', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",273
"Motion zur Prüfung, Überarbeitung und Anpassung der Kernzonen sowie allenfalls nötige Anpassungen der BZO",Motion,Erledigt,2009-09-28,['Pascal Rubin (Verfasser/in)'],['Pascal Rubin'],274
Schriftliche Anfrage betreffend Status der Raumbedarfplanung an Wädenswiler Schulen,Kleine Anfrage,Beantwortet,2009-09-14,['Christoph Hirzel'],['Christoph Hirzel'],275
Postulat betreffend Bauabrechnungen,Postulat,Erledigt,2018-12-10,"['Pascal Rubin (Mitunterzeichner/in)\n Bruno Zürcher (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)', '', '']","['Pascal Rubin', 'Bruno Zürcher', 'Hanspeter Andreoli']",276
"Interpellation zur Entwicklung des Seegrundstücks ""Seegüetli""",Interpellation,Erledigt,2014-11-18,"[' Schüpbach Nadia ', ' Koch Thomas', '', 'Oliver Küng (keine Funktion)\n Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '', '']","['Schüpbach Nadia', 'Koch Thomas', 'Oliver Küng', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",277
Interpellation betreffend Stromverbrauch und Kosteneinsparung,Interpellation,Erledigt,2016-11-22,"[' Zürrer André', ' Baer Charlotte', '', 'Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Mitunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Zürrer André', 'Baer Charlotte', 'Ivano Coduri', 'Erich Schärer', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli', 'Sandy Bossert']",278
Interpellation betreffend Interne Verrechnungen von Abschreibungen und Liegenschaftskosten,Interpellation,Erledigt,2021-07-22,"[' Kronauer Marco', ' Lüthi Beat', ' Minutella Angelo', ' Reiter Ulrich', ' Zürrer André', '', 'Eric Schenk (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)\n Martin Schlatter (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '']","['Kronauer Marco', 'Lüthi Beat', 'Minutella Angelo', 'Reiter Ulrich', 'Zürrer André', 'Eric Schenk', 'Christian Gross', 'Martin Schlatter', 'Judith Fürst']",279
Schriftliche Anfrage betreffend Konzessionsland in Wädenswil,Kleine Anfrage,Beantwortet,2008-09-28,['Willy Rüegg'],['Willy Rüegg'],280
Postulat betreffend Projektstudie für eine Holzschnitzelheizzentrale Eidmatt,Postulat,Abgelehnt,2020-12-16,"[' Höhener Patrick', ' Reiter Ulrich', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Höhener Patrick', 'Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",281
Postulat betreffend Beitritt der Stadt Wädenswil zur Genossenschaft Theater Kanton Zürich,Postulat,Nicht überwiesen,2006-09-19,['Willy Rüegg'],['Willy Rüegg'],282
Schriftliche Anfrage betreffend weniger Sicherheit wegen Entfernen von Strassenlaternen,Anfrage,Erledigt,2019-04-10,"[' Baer Charlotte', ' Kronauer Marco', ' Zürrer André', '', 'Christina Zurfluh Fraefel (keine Funktion)\n Roy Schärer (keine Funktion)\n Sandy Bossert (Erstunterzeichner/in)', '', '']","['Baer Charlotte', 'Kronauer Marco', 'Zürrer André', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Sandy Bossert']",283
Postulat betreffend Umnutzung des Gemeinderats-Saals für schulische Zwecke und Durchführung der Gemeinderatssitzungen in der Kulturhalle Glärnisch,Postulat,Beantwortet,2007-11-14,['SVP-Fraktion'],['SVP-Fraktion'],284
Motion zur Abklassierung der Tiefenhofstrasse,Motion,Beantwortet,2011-07-12,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",285
Interpellation betreffend Handhabung Parkplatzgebühren für Mitarbeitende,Interpellation,Erledigt,2023-04-25,"[' Frommherz Nico', ' Bachmann Severin', ' Höhener Patrick', ' Reiter Ulrich', ' Wehrli Samuel']","['Frommherz Nico', 'Bachmann Severin', 'Höhener Patrick', 'Reiter Ulrich', 'Wehrli Samuel']",286
Schriftliche Anfrage betreffend Mobilitätsrabatte für Mitarbeiter/-innen der Stadt Wädenswil,Kleine Anfrage,Beantwortet,2008-01-21,['GP-Fraktion'],['GP-Fraktion'],287
Schriftliche Anfrage betreffend nicht zugestellter Stimmunterlagen,Kleine Anfrage,Beantwortet,2006-05-21,"['Doris Stüdli, FDP']",['Doris Stüdli'],288
Interpellation betreffend Sicherheit im Bahnhofquartier,Interpellation,Beantwortet,2011-12-18,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],289
Interpellation betreffend Anschluss von Schönenberg an die ARA Wädenswil,Interpellation,Erledigt,2016-06-16,"['Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '', '']","['Simon Kägi', 'Rita Hug', 'Claudia Bühlmann']",290
Postulat betreffend Vermittlung von Grundwerten durch die Eltern,Postulat,Erledigt,2018-01-16,"[' Baer Charlotte', ' Zürrer André', '', 'Markus Siegrist (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (Erstunterzeichner/in)\n Pascal Rubin (Mitunterzeichner/in)\n Christina Zurfluh Fraefel (Mitunterzeichner/in)\n Roy Schärer (Mitunterzeichner/in)\n Hanspeter Andreoli (Mitunterzeichner/in)\n Sandy Bossert (Mitunterzeichner/in)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Zürrer André', 'Markus Siegrist', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Roy Schärer', 'Hanspeter Andreoli', 'Sandy Bossert']",291
Postulat betreffend Verbesserung der Suchfunktion auf www.waedenswil.ch,Postulat,Erledigt,2018-01-16,"[' Roth Hans', '', 'Beatrice Gmür (Erstunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Judith Fürst']",292
Interpellation betreffend Gesamtkonzept Hochschulstadt,Interpellation,Beantwortet,2011-12-15,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],293
