Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Interpellation betreffend Zonen für preiswertes Wohnen,Interpellation,Beantwortet,2011-01-03,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",157
Postulat betreffend Änderung Bewilligungspraxis Mobilfunkantennen der Stadt Wädenswil,Postulat,Abgeschrieben,2019-05-20,"[' Minutella Angelo', '', 'Rita Hug (Mitunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)\n Pierre Rappazzo (Erstunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)', '', '', '']","['Minutella Angelo', 'Rita Hug', 'Claudia Bühlmann', 'Pierre Rappazzo', 'Karin Signer']",158
Schriftliche Anfrage betreffend Verkehrssituation Hintere Rüti,Kleine Anfrage,Beantwortet,2009-07-03,['CVP-Fraktion'],['CVP-Fraktion'],159
Postulat betreffend Strom ohne Atom,Postulat,Beantwortet,2011-03-24,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",160
Interpellation betreffend Aufwertung Seegüetli,Interpellation,Erledigt,2016-11-21,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",161
Motion zum Schutz des Wändeswiler Baumbestands,Motion,Beantwortet,2011-08-22,"[' Erni Jonas', '', 'Corina Bürgi, Migmar Dhakyel, Willy Rüegg, Thomas Hartmann\n Daniel Tanner (keine Funktion)', '']","['Erni Jonas', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Daniel Tanner']",162
"Schriftliche Anfrage betreffend Sachbeschädigungen, Schmierereien, Littering",Kleine Anfrage,Beantwortet,2012-07-27,"[' Furrer Astrid', '', 'Peter Dolder, Thomas Bürge\n Walter Münch (keine Funktion)\n Walter Münch (keine Funktion)', '', '']","['Astrid Furrer', 'Peter Dolder', 'Thomas Bürge', 'Walter Münch', 'Walter Münch']",163
Postulat betreffend verdichtetes Bauen in der Wohnzone,Postulat,Rückzug,2012-07-30,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",164
Schriftliche Anfrage betreffend Velodiebstähle in Wädenswil,Anfrage,Beantwortet,2016-11-21,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",165
Schriftliche Anfrage betreffend finanzielle Folgen der neuen Spitalfinanzierung für Wädenswil,Kleine Anfrage,Beantwortet,2011-09-02,"[' Furrer Astrid', '', 'Peter Dolder, Gian-Fadri Gattiker, Thomas Bürge\n Walter Münch (keine Funktion)', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",166
Interpellation betreffend Wegzug BASF,Interpellation,Beantwortet,2011-03-30,"[' Baer Charlotte', '', 'Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Sandy Bossert (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel', 'Sandy Bossert']",167
Interpellation betreffend Steuern in der Stadt Wädenswil und Entwicklung der Sozialhilfeanfragen,Interpellation,Beantwortet,2009-07-10,['BFPW-Fraktion'],['BFPW-Fraktion'],168
Interpellation betreffend Biodiversität in Wädenswil,Interpellation,Erledigt,2019-05-22,"[' Utiger Joël', '', 'Volkan Dogu (Mitunterzeichner/in)\n Monika Greter (Mitunterzeichner/in)\n Lukas Wiederkehr (Mitunterzeichner/in)', '', '']","['Utiger Joël', 'Volkan Dogu', 'Monika Greter', 'Lukas Wiederkehr']",169
Schriftliche Anfrage betreffend der Umsetzung des Behinderten-Gleichstellungsgesetzes zur Anpassung der Bushaltestellen,Anfrage,Beantwortet,2015-06-03,"[' Stucki Adrian', '', 'Simon Kägi (keine Funktion)\n Rita Hug (Erstunterzeichner/in)', '']","['Stucki Adrian', 'Simon Kägi', 'Rita Hug']",170
Postulat betreffend Errichtung eines elektronischen Archivs bzw. einer Datenbank für parlamentarische Vorstösse,Postulat,Nicht überwiesen,2011-01-14,"[' Furrer Astrid', '', 'Peter Dolder, FDP\n Gian-Fadri Gattiker, FDP\n Thomas Bürge, FDP\n Walter Münch (keine Funktion)', '', '', '']","['Astrid Furrer', 'Peter Dolder', 'Gian-Fadri Gattiker', 'Thomas Bürge', 'Walter Münch']",171
Postulat betreffend Wädenswiler Studenten Jahresfest,Postulat,Beantwortet,2010-06-01,"[' Baer Charlotte', '', 'Fredy Haab\n Martin Lampert\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",172
Schriftliche Anfrage betreffend Strassenwesen,Anfrage,Beantwortet,2017-03-23,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",173
"Weisung 7, vom 5. Dezember 2022, Volksinitiative ""Erhalt der Freizeitanlage Untermosen""",Volksinitiative,Rückzug,2022-12-20,,,174
Interpellation zu den Dämmerungseinbrüchen,Interpellation,Erledigt,2012-10-14,['Albert A. Stahel'],['Albert A. Stahel'],175
Schriftliche Anfrage betreffend Landkauf Rütihof,Anfrage,Beantwortet,2013-06-07,['Albert A. Stahel'],['Albert A. Stahel'],176
Postulat betreffend Biogas,Postulat,Beantwortet,2010-07-09,"[' Stucki Adrian', '', 'Heinz Wiher, GP\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",177
Schriftliche Anfrage betreffend Verkehrsprobleme und Unfälle im Zusammenhang mit der Zufahrt zur Aldi-Filiale,Kleine Anfrage,Beantwortet,2009-11-16,['FDP-Fraktion'],['FDP-Fraktion'],178
Schriftliche Anfrage betreffend Fahrplanwechsel,Anfrage,Beantwortet,2013-05-31,['Albert A. Stahel'],['Albert A. Stahel'],179
Schriftliche Anfrage betreffend Seeuferweg-wie weiter?,Anfrage,Erledigt,2019-02-25,"[' Roth Hans', '', 'Beatrice Gmür (Mitunterzeichner/in)\n Hansjörg Schmid (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)', '', '', '', '', '']","['Roth Hans', 'Beatrice Gmür', 'Hansjörg Schmid', 'Edith Brunner', 'Christian Gross', 'Karin Signer', 'Judith Fürst']",180
Schriftliche Anfrage zu der Diebstahl-Sicherheit in den Schulhäusern,Anfrage,Beantwortet,2014-12-10,"['Pascal Rubin (Mitunterzeichner/in)\n Hanspeter Andreoli (Erstunterzeichner/in)', '']","['Pascal Rubin', 'Hanspeter Andreoli']",181
Schriftliche Anfrage betreffend Strandbad Rietliau,Kleine Anfrage,Beantwortet,2012-09-28,['Albert A. Stahel'],['Albert A. Stahel'],182
Postulat betreffend regionale Zusammenlegung von Schiessanlagen,Postulat,Nicht überwiesen,2010-06-16,"['Tobias Mani, EVP\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",183
"Postulat betreffend SolarPlus, Erhöhung der Solarquote",Postulat,Erledigt,2022-10-30,"[' Fuchs Werner', ' Hauser Urs', ' Minutella Angelo', ' Reust Patrick', ' Roth Hans', ' Tanner Imfeld Monika', ' Willi Daniel', '', 'Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)\n Gabi Bachmann (Mitunterzeichner/in)', '', '', '']","['Fuchs Werner', 'Hauser Urs', 'Minutella Angelo', 'Reust Patrick', 'Roth Hans', 'Tanner Imfeld Monika', 'Willi Daniel', 'Karin Signer', 'Judith Fürst', 'Edith Höhn', 'Gabi Bachmann']",184
Interpellation zur Aufhebung der Bushaltestelle Waisenhausstrasse,Interpellation,Erledigt,2021-12-08,"[' Willi Daniel', ' Roth Hans', '', 'Christian Gross (Mitunterzeichner/in)\n Katarina Oehlin (Mitunterzeichner/in)\n Karin Signer (Mitunterzeichner/in)\n Judith Fürst (Mitunterzeichner/in)\n Edith Höhn (Mitunterzeichner/in)', '', '', '', '']","['Willi Daniel', 'Roth Hans', 'Christian Gross', 'Katarina Oehlin', 'Karin Signer', 'Judith Fürst', 'Edith Höhn']",185
Interpellation betreffend Erschliessung der Hochschule Wädenswil (ZHAW) mit dem öffentlichen Verkehr und der Realisierung eines zusätzlichen SOB-Bahnhofs beim Campus Reidbach,Interpellation,Beantwortet,2011-01-30,[' Erni Jonas'],['Erni Jonas'],186
Interpellation betreffend Mindereinnahmen durch kantonale/eidgenössische Gesetze,Interpellation,Erledigt,2015-02-25,"['Daniel Tanner (keine Funktion)\n Thomas Rom (keine Funktion)\n Beatrice Gmür (Mitunterzeichner/in)\n Edith Brunner (Mitunterzeichner/in)\n Christian Gross (Erstunterzeichner/in)', '', '', '', '']","['Daniel Tanner', 'Thomas Rom', 'Beatrice Gmür', 'Edith Brunner', 'Christian Gross']",187
Postulat betreffend Reduktion der Hundesteuer auf Hofhunde,Postulat,Rückzug,2010-05-24,"[' Baer Charlotte', '', 'Fredy Haab\n Martin Lampert\n Jürg Wuhrmann (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Martin Lampert', 'Jürg Wuhrmann', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Christina Zurfluh Fraefel']",188
Postulat betreffend Velonetz Wädenswil,Postulat,Nicht überwiesen,2007-12-10,['GP-Fraktion'],['GP-Fraktion'],189
Posutlat betreffend Energiestadt Gold,Postulat,Beantwortet,2011-04-08,"[' Stucki Adrian', '', 'Heinz Wiher\n Simon Kägi (keine Funktion)\n Rita Hug (keine Funktion)', '', '']","['Stucki Adrian', 'Heinz Wiher', 'Simon Kägi', 'Rita Hug']",190
Interpellation betreffend Spitalfusion Bezirk Horgen,Interpellation,Beantwortet,2009-08-11,['SVP-Fraktion'],['SVP-Fraktion'],191
Interpellation betreffend Sicherstellung der Ordnung und Nachtruhe,Interpellation,Beantwortet,2011-10-02,['Albert A. Stahel (Verfasser/in)'],['Albert A. Stahel'],192
"Postulat betreffend Werke-Einzelkonto ""Beitrag an die politische Gemeinde""",Postulat,Abgeschrieben,2012-09-03,"[' Erni Jonas', ' Stucki Adrian']","['Erni Jonas', 'Stucki Adrian']",193
Postulat betreffend Beitritt der Stadt Wädenswil zur Bauteilvermittlung Zürichsee,Postulat,Abgeschrieben,2018-02-22,"[' Reiter Ulrich', '', 'Rita Hug (Erstunterzeichner/in)\n Claudia Bühlmann (Mitunterzeichner/in)', '']","['Reiter Ulrich', 'Rita Hug', 'Claudia Bühlmann']",194
Schriftliche Anfrage betreffend Einsatz von Siedlungs- und technischen Wohnassistenten,Anfrage,Beantwortet,2018-02-16,"[' Koch Thomas', ' Schafflützel Roman', ' Schüpbach Nadia ', '', 'Walter Münch (Mitunterzeichner/in)\n Ernst Grand (Mitunterzeichner/in)\n Christian Nufer (Mitunterzeichner/in)', '', '']","['Koch Thomas', 'Schafflützel Roman', 'Schüpbach Nadia', 'Walter Münch', 'Ernst Grand', 'Christian Nufer']",195
Interpellation betreffend Mundart im Kindergarten,Interpellation,Beantwortet,2012-08-27,['Albert A. Stahel'],['Albert A. Stahel'],196
Postulat betreffend kundenorientierte Öffnungszeiten des Strandbads Rietliau und der Brettlibadi,Postulat,Nicht überwiesen,2011-09-28,"['Kuno Spirig\n Heinz Wiher\n Rahel Sonderegger (keine Funktion)\n Monika Greter (keine Funktion)', '', '', '']","['Kuno Spirig', 'Heinz Wiher', 'Rahel Sonderegger', 'Monika Greter']",197
Schriftliche Anfrage betreffend Spitalfusion Bezirk Horgen,Kleine Anfrage,Beantwortet,2009-07-23,['Thomas Largiadèr (Verfasser/in)'],['Thomas Largiadèr'],198
Schriftliche Anfrage betreffend Betreuungsangebot der Primarschule,Kleine Anfrage,Beantwortet,2011-04-08,"[' Erni Jonas', '', 'Corina Bürgi, Migmar Dhakyel, Willy Rüegg, Thomas Hartmann\n Daniel Tanner (keine Funktion)', '']","['Erni Jonas', 'Corina Bürgi', 'Migmar Dhakyel', 'Willy Rüegg', 'Thomas Hartmann', 'Daniel Tanner']",199
Schriftliche Anfrage betreffend Ansiedlung juristischer Personen,Kleine Anfrage,Beantwortet,2008-01-08,[' Furrer Astrid'],['Astrid Furrer'],200
Schriftliche Anfrage betreffend Hochwasserschutz neue Bibliothek,Anfrage,Beantwortet,2010-05-26,"['Tobias Mani\n Rahel Sonderegger (keine Funktion)\n Berti Stocker (keine Funktion)', '', '']","['Tobias Mani', 'Rahel Sonderegger', 'Berti Stocker']",201
Postulat betreffend Fluktuation bei der Polizei Wädenswil,Postulat,Nicht überwiesen,2011-01-24,"[' Baer Charlotte', '', 'Fredy Haab, SVP\n Jürg Wuhrmann (keine Funktion)\n Ivano Coduri (keine Funktion)\n Erich Schärer (keine Funktion)\n Marcel Bättig (keine Funktion)\n Christoph Lehmann (keine Funktion)\n Adrian Stocker (keine Funktion)\n Pascal Rubin (keine Funktion)\n Christina Zurfluh Fraefel (keine Funktion)\n Hanspeter Andreoli (keine Funktion)', '', '', '', '', '', '', '', '', '']","['Baer Charlotte', 'Fredy Haab', 'Jürg Wuhrmann', 'Ivano Coduri', 'Erich Schärer', 'Marcel Bättig', 'Christoph Lehmann', 'Adrian Stocker', 'Pascal Rubin', 'Christina Zurfluh Fraefel', 'Hanspeter Andreoli']",202
