Titel,Geschaeftsart,Status,Datum,Namen,Namen-neu,ID-Vorstoss
Areal der Stalder Transportunternehmung AG,Interpellation,Beantwortet,2014-12-03,"['Dr. Oswald Marianne', '', 'Ueli Gräflein (keine Funktion)']","['Oswald Marianne', 'Ueli Gräflein']",29
Unternehmens-Identifikationsnummer (UID),Interpellation,,2011-05-12,[' Senn Mario'],['Senn Mario'],30
Verbesserung des ÖV-Angebotes,Postulat,Nicht überwiesen,2014-12-04,['Peter Bühler (keine Funktion)'],['Peter Bühler'],31
Globalbudget betr. zusätzlichem Indikator beim Produkt Kultur,Postulat,Überwiesen,2011-06-17,"[' Clesle Hanspeter', '', 'Daniela Morf (keine Funktion)']","['Clesle Hanspeter', 'Daniela Morf']",32
Rückforderungen von Versorgertaxen vom Kanton Zürich,Interpellation,Beantwortet,2022-05-19,"['Christoph Gubser (Erstunterzeichner/in)\n Patrick Sager (Mitunterzeichner/in)', '']","['Christoph Gubser', 'Patrick Sager']",33
Wie schützt sich Adliswil vor Cyberangriffen?,Interpellation,Beantwortet,2022-04-28,"[' Buchmann-Bach Vera', '', 'Patrick Sager (Mitunterzeichner/in)']","['Buchmann-Bach Vera', 'Patrick Sager']",34
Schulzimmer Zentrum Kronenwiese,Interpellation,Beantwortet,2011-06-17,"[' Clesle Hanspeter', ' Senn Mario']","['Clesle Hanspeter', 'Senn Mario']",35
Fremdbetreuung von Kindern - Kostenübernahme,Interpellation,Beantwortet,2014-10-21,"['Dr. Bürgi Markus', ' Senn Mario']","['Bürgi Markus', 'Senn Mario']",36
Umfang von Beratungsleistungen in der Stadtverwaltung,Interpellation,Erledigt,2015-01-14,"['Dr.  Liedtke Wolfgang', '', 'Davide Loss (keine Funktion)']","['Liedtke Wolfgang', 'Davide Loss']",37
Ermässigung der Musikschulgebühren für Studierende,Motion,Nicht zustandegekommen,2021-03-12,"['Dr.  Liedtke Wolfgang', ' Etemi Xhelajdin', ' Yilmaz Esen', '', 'Angelika Sulser (Mitunterzeichner/in)']","['Liedtke Wolfgang', 'Etemi Xhelajdin', 'Yilmaz Esen', 'Angelika Sulser']",38
Parkplätze Sportanlage Tüfi,Interpellation,Erledigt,2015-05-07,[' Baldegger Harry'],['Baldegger Harry'],39
Adliswiler Stadtsaal - Wann löst der Stadtrat sein Versprechen ein?,Interpellation,Beantwortet,2020-04-15,"[' Acar Sait', ' Etemi Xhelajdin', 'Dr.  Liedtke Wolfgang']","['Acar Sait', 'Etemi Xhelajdin', 'Liedtke Wolfgang']",40
Auswirkungen der Lohnerhöhung beim städtischen Personal,Interpellation,Beantwortet,2023-03-08,"['Dr. Helbling Silvia', ' Iseli Thomas', ' Schweizer Rolf']","['Helbling Silvia', 'Iseli Thomas', 'Schweizer Rolf']",41
Finanzielle Situation Kinderhaus Werd,Interpellation,Beantwortet,2017-02-07,"[' Senn Mario', '', 'Marietta Werder (Erstunterzeichner/in)']","['Senn Mario', 'Marietta Werder']",42
Elektronische Beschlussdatenbank,Postulat,Abgeschrieben,2013-12-04,[' Senn Mario'],['Senn Mario'],43
Zahlungserinnerungen zur Verminderung von Steuerausfällen,Anfrage,Beantwortet,2016-12-09,"[' Acar Sait', ' Etemi Xhelajdin', '', 'Davide Loss (Erstunterzeichner/in)']","['Acar Sait', 'Etemi Xhelajdin', 'Davide Loss']",44
Quartierentwicklung Dietlimoos/Grütpark,Interpellation,Beantwortet,2014-02-05,[' Fässler Thomas'],['Fässler Thomas'],45
Interessenbindungen Behördenmitglieder,Anfrage,Beantwortet,2023-02-21,"[' Buchmann-Bach Vera', ' Geissler Heinz', 'Dr. Helbling Silvia']","['Buchmann-Bach Vera', 'Geissler Heinz', 'Helbling Silvia']",46
Wirtschaftsstrategie für Adliswil,Motion,Abgeschrieben,2020-06-03,"[' Senn Mario', ' Buchmann Reto', ' Clesle Hanspeter', ' Frei Daniel', '', 'Daniela Morf (Mitunterzeichner/in)\n Walter Uebersax (Mitunterzeichner/in)', '']","['Senn Mario', 'Buchmann Reto', 'Clesle Hanspeter', 'Frei Daniel', 'Daniela Morf', 'Walter Uebersax']",47
Sammlung von Plastikabfällen aller Art auf dem Stadtgebiet und Zuführung der Wiederverwertung,Interpellation,Beantwortet,2021-03-08,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']",48
Steuerstatistik veröffentlichen,Interpellation,Beantwortet,2018-09-06,"[' Buchmann Reto', 'Dr. Helbling Silvia', ' Senn Mario']","['Buchmann Reto', 'Helbling Silvia', 'Senn Mario']",49
Verkehrsproblematik Schönauweg,Interpellation,Beantwortet,2021-04-01,"[' Baldegger Harry', ' Corrodi Bernie', ' Frei Daniel', ' Melliger Heinz']","['Baldegger Harry', 'Corrodi Bernie', 'Frei Daniel', 'Melliger Heinz']",50
Chancengleichheit bei Stellenbesetzungen in der Stadt- und Schulverwaltung,Anfrage,Beantwortet,2020-06-15,[' Muthuthamby Kannathasan'],['Muthuthamby Kannathasan'],51
"Aufwertung des Zentrum durch Kauf, Neubau und Verkauf von Liegenschaften an der Ablisstrasse",Postulat,Abgelehnt,2023-03-08,"[' Buchmann-Bach Vera', ' Geissler Heinz', ' Schweizer Rolf']","['Buchmann-Bach Vera', 'Geissler Heinz', 'Schweizer Rolf']",52
Neun Zivilschutzanlagen gehen zurück an die Gemeinden,Anfrage,Beantwortet,2017-02-22,['Heidi Jucker (Verfasser/in)'],['Heidi Jucker'],53
Aufwand für Förderung und Angebot von Kindern mit besonderen pädagogischen Bedürfnissen,Interpellation,Beantwortet,2017-03-09,"[' Jacomet Renato', ' Künzler Urs', '', 'Hedwig Habersaat (Mitunterzeichner/in)\n Mario F. Salomon (Erstunterzeichner/in)\n Heidi Jucker (Mitunterzeichner/in)\n Daniela Morf (Mitunterzeichner/in)\n Erwin Lauper (Mitunterzeichner/in)', '', '', '', '']","['Jacomet Renato', 'Künzler Urs', 'Hedwig Habersaat', 'Mario F. Salomon', 'Heidi Jucker', 'Daniela Morf', 'Erwin Lauper']",54
Stadtsaal,Anfrage,Beantwortet,2023-07-23,['Dr.  Liedtke Wolfgang'],['Liedtke Wolfgang'],55
Homeoffice in der Corona-Krise: Erkenntnisse aus der Stadtverwaltung,Interpellation,Beantwortet,2020-06-12,"[' Buchmann Reto', ' Frei Daniel']","['Buchmann Reto', 'Frei Daniel']",56
Hitzeminderung im Stadtgebiet,Interpellation,Beantwortet,2021-04-22,"['Dr. Oswald Marianne', 'Dr. Broggini Angela ', ' Schneider Daniel']","['Oswald Marianne', 'Broggini Angela', 'Schneider Daniel']",57
Aufwertung der Verkehrsleitungs-Kreisel auf der Albisstrasse,Motion,Abgelehnt,2018-08-21,"[' Corrodi Bernie', ' Schneider Daniel']","['Corrodi Bernie', 'Schneider Daniel']",58
Wann profitiert auch Adliswil von Umzonungen?,Anfrage,Beantwortet,2021-02-22,"[' Mäder Gabriel', ' Corrodi Bernie', 'Dr. Oswald Marianne', '', 'Walter Uebersax (Mitunterzeichner/in)']","['Mäder Gabriel', 'Corrodi Bernie', 'Oswald Marianne', 'Walter Uebersax']",59
Abfalltrennung bei öffentlichen Veranstaltungen  und in öffentlichen Gebäuden in der Stadt Adliswil,Postulat,Pendent Legislative,2023-11-16,"[' Corrodi Bernie', ' Muthuthamby Kannathasan', ' Welti Pascal']","['Corrodi Bernie', 'Muthuthamby Kannathasan', 'Welti Pascal']",60
Planung und Realisierung eines Gemeinschaftszentrums (GZ),Postulat,Abgelehnt,2020-01-08,"['Dr. Broggini Angela ', ' Corrodi Bernie', ' Mäder Gabriel', ' Yilmaz Esen', '', 'Angelika Sulser (Ersatzurheber/in)\n Walter Uebersax (Mitunterzeichner/in)', '']","['Broggini Angela', 'Corrodi Bernie', 'Mäder Gabriel', 'Yilmaz Esen', 'Angelika Sulser', 'Walter Uebersax']",61
Schliessung Vulkaro,Interpellation,Beantwortet,2013-05-08,['Daniel Jud (keine Funktion)'],['Daniel Jud'],62
Stadteigene Bauland-Parzellen B2 und C im Dietlimoos,Motion,Abgelehnt,2017-07-05,"['Dr. Oswald Marianne', ' Schneider Daniel', '', 'Daniel Jud (Mitunterzeichner/in)']","['Oswald Marianne', 'Schneider Daniel', 'Daniel Jud']",63
Lärm durch Nationalstrasse,Interpellation,Beantwortet,2017-06-22,[' Fässler Thomas'],['Fässler Thomas'],64
Kulturlandinitiative und weitere Bautätigkeit im Gebiet Dietlimoos/Moos,Interpellation,Beantwortet,2013-06-05,['Yannick Wettstein (keine Funktion)'],['Yannick Wettstein'],65
Altpapiersammlung durch Vereine in Adliswil,Interpellation,Beantwortet,2020-03-04,"[' Baldegger Harry', ' Corrodi Bernie', ' Frei Daniel', ' Melliger Heinz']","['Baldegger Harry', 'Corrodi Bernie', 'Frei Daniel', 'Melliger Heinz']",66
Kronenwiese- Schulareal zur Entsiegelung und Hitzeminderung,Interpellation,Pendent Legislative,2023-11-02,"[' Schoch Jacqueline ', ' Corrodi Bernie', ' Kälin Florian', ' Mäder Gabriel']","['Schoch Jacqueline', 'Corrodi Bernie', 'Kälin Florian', 'Mäder Gabriel']",67
Massvolle Verdichtung statt Grossüberbauung und Hochhäuser,Postulat,Abgeschrieben,2020-12-09,"[' Senn Mario', ' Frei Daniel', '', 'Daniela Morf (Mitunterzeichner/in)']","['Senn Mario', 'Frei Daniel', 'Daniela Morf']",68
Verbesserung und Ausbau der Buslinie 151 (Zopf-Quartier),Motion,Abgeschrieben,2020-11-27,"[' Corrodi Bernie', ' Baldegger Harry', ' Frei Daniel', ' Melliger Heinz']","['Corrodi Bernie', 'Baldegger Harry', 'Frei Daniel', 'Melliger Heinz']",69
